StartDeltaMS	LastScanDeltaMS	Left Actual Velocity [in/s]	Left Output Current	Right Actual Velocity [in/s]	Right Output Current	Chassis Acceleration [in/s/s]	Elevator: Target Position [in]	Elevator: Postion [in]	Elevator: Velocity [in/sec]	Elevator: AccelNu [in/sec^2]	Elevator: At Target Position?	Elevator: Scale Height Bump Amount:	State: Elevator	Infeed: Left Target Arm Position	Infeed: Right Target Arm Position	Infeed: L Position	Infeed: R Position:	Infeed: L/R Arms Homed?	State: Infeed	Carriage: LimitSwitch	Carriage: VBus Cmd	State: Carriage	Climber: Current	
186	12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
206	19	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
216	10	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
231	15	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
238	7	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
252	14	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
265	13	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
274	9	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
287	13	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
295	8	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
321	26	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
334	12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
359	24	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
369	9	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
378	9	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
399	21	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
418	17	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
453	35	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
464	11	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
478	13	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
499	20	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
519	20	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
